iter	Passed	Remaining
0	56	56584
1	56	28389
2	57	19007
3	57	14307
4	57	11480
5	57	9592
6	58	8245
7	58	7236
8	58	6450
9	58	5820
10	59	5306
11	59	4877
12	59	4514
13	59	4203
14	59	3933
15	60	3697
16	60	3489
17	60	3304
18	60	3137
19	60	2987
20	61	2851
21	61	2728
22	61	2615
23	61	2512
24	62	2418
25	62	2330
26	62	2250
27	62	2174
28	62	2104
29	63	2039
30	63	1978
31	63	1920
32	63	1867
33	63	1817
34	64	1769
35	64	1724
36	64	1681
37	64	1640
38	65	1601
39	65	1565
40	65	1529
41	65	1496
42	65	1464
43	66	1434
44	66	1405
45	66	1377
46	66	1351
47	66	1325
48	67	1301
49	67	1277
50	67	1255
51	67	1233
52	67	1212
53	68	1192
54	68	1173
55	68	1155
56	68	1137
57	68	1119
58	69	1102
59	69	1086
60	69	1070
61	69	1055
62	69	1040
63	70	1026
64	70	1013
65	70	999
66	70	986
67	70	971
68	71	959
69	71	947
70	71	935
71	71	924
72	71	913
73	72	902
74	72	891
75	72	881
76	72	871
77	72	862
78	73	852
79	73	843
80	73	833
81	73	825
82	73	816
83	74	807
84	74	798
85	74	790
86	74	781
87	74	773
88	74	766
89	75	758
90	75	751
91	75	744
92	75	737
93	75	731
94	76	724
95	76	717
96	76	711
97	76	705
98	76	699
99	77	693
100	77	687
101	77	680
102	77	675
103	77	669
104	77	663
105	78	658
106	78	653
107	78	648
108	78	643
109	78	638
110	79	633
111	79	628
112	79	623
113	79	619
114	79	614
115	80	609
116	80	605
117	80	600
118	80	596
119	80	592
120	80	588
121	81	583
122	81	578
123	81	574
124	81	570
125	81	567
126	81	563
127	82	558
128	82	555
129	82	551
130	82	548
131	82	544
132	83	541
133	83	537
134	83	534
135	83	531
136	83	527
137	83	524
138	84	520
139	84	517
140	84	514
141	84	511
142	84	508
143	85	505
144	85	502
145	85	499
146	85	497
147	85	494
148	86	491
149	86	488
150	86	486
151	86	483
152	86	480
153	87	478
154	87	475
155	87	473
156	87	470
157	87	468
158	88	465
159	88	463
160	88	460
161	88	458
162	88	455
163	88	453
164	89	451
165	89	448
166	89	446
167	89	444
168	89	442
169	90	439
170	90	437
171	90	435
172	90	433
173	90	431
174	91	429
175	91	427
176	91	425
177	91	423
178	91	421
179	92	419
180	92	416
181	92	414
182	92	412
183	92	411
184	92	409
185	93	407
186	93	405
187	93	403
188	93	402
189	93	400
190	94	398
191	94	396
192	94	394
193	94	393
194	94	391
195	95	389
196	95	388
197	95	386
198	95	384
199	95	383
200	96	381
201	96	380
202	96	378
203	96	377
204	96	375
205	97	373
206	97	372
207	97	370
208	97	369
209	97	367
210	97	366
211	98	365
212	98	363
213	98	362
214	98	360
215	99	359
216	99	358
217	99	356
218	99	355
219	99	353
220	99	352
221	100	351
222	100	349
223	100	348
224	100	347
225	100	345
226	101	344
227	101	343
228	101	341
229	101	340
230	101	339
231	102	338
232	102	336
233	102	335
234	102	334
235	102	333
236	103	331
237	103	330
238	103	329
239	103	328
240	103	327
241	104	325
242	104	324
243	104	323
244	104	322
245	104	321
246	105	320
247	105	319
248	105	317
249	105	316
250	105	315
251	106	314
252	106	313
253	106	312
254	106	311
255	106	310
256	106	309
257	107	308
258	107	307
259	107	306
260	107	305
261	107	304
262	108	303
263	108	302
264	108	300
265	108	299
266	108	299
267	109	298
268	109	297
269	109	296
270	109	295
271	109	294
272	110	293
273	110	292
274	110	291
275	110	290
276	110	289
277	111	288
278	111	287
279	111	286
280	111	285
281	111	284
282	112	283
283	112	282
284	112	282
285	112	281
286	112	280
287	112	279
288	113	278
289	113	277
290	113	276
291	113	275
292	113	274
293	114	274
294	114	273
295	114	272
296	114	271
297	114	270
298	115	269
299	115	269
300	115	268
301	115	267
302	115	266
303	116	265
304	116	264
305	116	264
306	116	263
307	116	262
308	117	261
309	117	260
310	117	260
311	117	259
312	117	258
313	118	257
314	118	257
315	118	256
316	118	255
317	118	254
318	118	253
319	119	253
320	119	252
321	119	251
322	119	250
323	119	250
324	120	249
325	120	248
326	120	248
327	120	247
328	120	246
329	121	245
330	121	245
331	121	244
332	121	243
333	121	243
334	122	242
335	122	241
336	122	240
337	122	240
338	122	239
339	123	238
340	123	238
341	123	237
342	123	236
343	123	236
344	124	235
345	124	234
346	124	234
347	124	233
348	124	232
349	125	232
350	125	231
351	125	230
352	125	230
353	125	229
354	126	229
355	126	228
356	126	227
357	126	227
358	126	226
359	126	225
360	127	225
361	127	224
362	127	223
363	127	223
364	127	222
365	128	222
366	128	221
367	128	220
368	128	220
369	128	219
370	129	218
371	129	218
372	129	217
373	129	217
374	129	216
375	130	216
376	130	215
377	130	214
378	130	214
379	130	213
380	131	213
381	131	212
382	131	211
383	131	211
384	131	210
385	132	210
386	132	209
387	132	209
388	132	208
389	132	207
390	133	207
391	133	206
392	133	206
393	133	205
394	133	205
395	134	204
396	134	203
397	134	203
398	134	202
399	134	202
400	135	201
401	135	201
402	135	200
403	135	200
404	135	199
405	136	198
406	136	198
407	136	197
408	136	197
409	136	196
410	137	196
411	137	195
412	137	195
413	137	194
414	138	194
415	138	194
416	138	193
417	138	193
418	138	192
419	139	191
420	139	191
421	139	190
422	139	190
423	139	189
424	140	189
425	140	188
426	140	188
427	140	187
428	140	187
429	141	186
430	141	186
431	141	185
432	141	185
433	141	184
434	141	184
435	142	183
436	142	183
437	142	182
438	142	182
439	142	181
440	143	181
441	143	180
442	143	180
443	143	179
444	143	179
445	144	179
446	144	178
447	144	178
448	144	177
449	144	177
450	145	176
451	145	176
452	145	175
453	145	175
454	145	174
455	146	174
456	146	173
457	146	173
458	146	172
459	146	172
460	146	171
461	147	171
462	147	170
463	147	170
464	147	170
465	148	169
466	148	169
467	148	168
468	148	168
469	148	167
470	148	167
471	149	166
472	149	166
473	149	165
474	149	165
475	149	165
476	150	164
477	150	164
478	150	163
479	150	163
480	150	162
481	151	162
482	151	161
483	151	161
484	151	160
485	151	160
486	151	160
487	152	159
488	152	159
489	152	158
490	152	158
491	152	157
492	153	157
493	153	157
494	153	156
495	153	156
496	153	155
497	154	155
498	154	154
499	154	154
500	154	154
501	155	153
502	155	153
503	155	153
504	155	152
505	155	152
506	156	151
507	156	151
508	156	150
509	156	150
510	156	150
511	157	149
512	157	149
513	157	148
514	157	148
515	157	148
516	157	147
517	158	147
518	158	146
519	158	146
520	158	146
521	159	145
522	159	145
523	159	144
524	159	144
525	159	144
526	160	143
527	160	143
528	160	142
529	160	142
530	160	142
531	160	141
532	161	141
533	161	140
534	161	140
535	161	140
536	161	139
537	162	139
538	162	138
539	162	138
540	162	138
541	162	137
542	163	137
543	163	136
544	163	136
545	163	136
546	163	135
547	164	135
548	164	134
549	164	134
550	164	134
551	164	133
552	165	133
553	165	133
554	165	132
555	165	132
556	165	131
557	166	131
558	166	131
559	166	130
560	166	130
561	166	129
562	166	129
563	167	129
564	167	128
565	167	128
566	167	128
567	167	127
568	168	127
569	168	126
570	168	126
571	168	126
572	168	125
573	169	125
574	169	125
575	169	124
576	169	124
577	169	124
578	170	123
579	170	123
580	170	122
581	170	122
582	170	122
583	171	121
584	171	121
585	171	121
586	171	120
587	171	120
588	172	120
589	172	119
590	172	119
591	172	118
592	172	118
593	173	118
594	173	117
595	173	117
596	173	117
597	173	116
598	173	116
599	174	116
600	174	115
601	174	115
602	174	115
603	174	114
604	175	114
605	175	114
606	175	113
607	175	113
608	175	112
609	176	112
610	176	112
611	176	111
612	176	111
613	176	111
614	177	110
615	177	110
616	177	110
617	177	109
618	177	109
619	178	109
620	178	108
621	178	108
622	178	108
623	178	107
624	179	107
625	179	107
626	179	106
627	179	106
628	179	105
629	179	105
630	180	105
631	180	104
632	180	104
633	180	104
634	180	103
635	181	103
636	181	103
637	181	102
638	181	102
639	181	102
640	182	101
641	182	101
642	182	101
643	182	101
644	182	100
645	183	100
646	183	100
647	183	99
648	183	99
649	183	99
650	184	98
651	184	98
652	184	98
653	184	97
654	184	97
655	185	97
656	185	96
657	185	96
658	185	96
659	185	95
660	186	95
661	186	95
662	186	94
663	186	94
664	186	94
665	186	93
666	187	93
667	187	93
668	187	92
669	187	92
670	187	92
671	188	91
672	188	91
673	188	91
674	188	90
675	188	90
676	189	90
677	189	89
678	189	89
679	189	89
680	189	88
681	190	88
682	190	88
683	190	88
684	190	87
685	190	87
686	191	87
687	191	86
688	191	86
689	191	86
690	191	85
691	192	85
692	192	85
693	192	84
694	192	84
695	192	84
696	193	83
697	193	83
698	193	83
699	193	82
700	193	82
701	194	82
702	194	82
703	194	81
704	194	81
705	194	81
706	194	80
707	195	80
708	195	80
709	195	79
710	195	79
711	195	79
712	196	78
713	196	78
714	196	78
715	196	78
716	196	77
717	197	77
718	197	77
719	197	76
720	197	76
721	197	76
722	198	75
723	198	75
724	198	75
725	198	74
726	198	74
727	199	74
728	199	74
729	199	73
730	199	73
731	199	73
732	200	72
733	200	72
734	200	72
735	200	71
736	200	71
737	200	71
738	201	71
739	201	70
740	201	70
741	201	70
742	201	69
743	202	69
744	202	69
745	202	68
746	202	68
747	202	68
748	203	68
749	203	67
750	203	67
751	203	67
752	203	66
753	204	66
754	204	66
755	204	65
756	204	65
757	204	65
758	204	65
759	205	64
760	205	64
761	205	64
762	205	63
763	205	63
764	206	63
765	206	63
766	206	62
767	206	62
768	206	62
769	207	61
770	207	61
771	207	61
772	207	60
773	207	60
774	208	60
775	208	60
776	208	59
777	208	59
778	208	59
779	209	58
780	209	58
781	209	58
782	209	58
783	209	57
784	210	57
785	210	57
786	210	56
787	210	56
788	210	56
789	210	56
790	211	55
791	211	55
792	211	55
793	211	54
794	212	54
795	212	54
796	212	54
797	212	53
798	212	53
799	213	53
800	213	52
801	213	52
802	213	52
803	213	52
804	213	51
805	214	51
806	214	51
807	214	50
808	214	50
809	214	50
810	215	50
811	215	49
812	215	49
813	215	49
814	215	49
815	216	48
816	216	48
817	216	48
818	216	47
819	216	47
820	217	47
821	217	47
822	217	46
823	217	46
824	217	46
825	218	45
826	218	45
827	218	45
828	218	45
829	218	44
830	218	44
831	219	44
832	219	43
