iter	Passed	Remaining
0	56	56582
1	56	28382
2	57	18987
3	57	14284
4	57	11463
5	57	9581
6	58	8237
7	58	7229
8	58	6444
9	58	5817
10	58	5303
11	59	4873
12	59	4510
13	59	4199
14	59	3928
15	60	3692
16	60	3485
17	60	3301
18	60	3135
19	60	2985
20	61	2850
21	61	2729
22	61	2617
23	61	2515
24	62	2420
25	62	2333
26	62	2252
27	62	2177
28	62	2106
29	63	2041
30	63	1980
31	63	1923
32	63	1869
33	64	1818
34	64	1771
35	64	1726
36	64	1682
37	64	1641
38	65	1603
39	65	1566
40	65	1531
41	65	1497
42	65	1466
43	66	1435
44	66	1407
45	66	1379
46	66	1352
47	66	1327
48	67	1302
49	67	1279
50	67	1257
51	67	1235
52	67	1214
53	68	1194
54	68	1174
55	68	1156
56	68	1137
57	69	1121
58	69	1105
59	69	1088
60	69	1073
61	69	1057
62	70	1043
63	70	1028
64	70	1014
65	70	1001
66	70	988
67	71	975
68	71	963
69	71	951
70	71	939
71	72	928
72	72	916
73	72	906
74	72	895
75	72	885
76	73	875
77	73	865
78	73	855
79	73	846
80	73	837
81	74	828
82	74	818
83	74	810
84	74	802
85	74	794
86	74	786
87	75	778
88	75	770
89	75	763
90	75	756
91	75	749
92	76	742
93	76	735
94	76	728
95	76	723
96	77	717
97	77	711
98	77	704
99	77	698
100	77	692
101	77	686
102	78	680
103	78	674
104	78	669
105	78	664
106	78	658
107	79	653
108	79	648
109	79	643
110	79	638
111	79	633
112	80	628
113	80	623
114	80	619
115	80	614
116	80	609
117	80	605
118	81	601
119	81	596
120	81	592
121	81	588
122	81	584
123	82	580
124	82	576
125	82	572
126	82	568
127	82	564
128	83	560
129	83	557
130	83	553
131	83	550
132	83	546
133	84	543
134	84	539
135	84	536
136	84	533
137	84	529
138	85	526
139	85	523
140	85	520
141	85	516
142	85	513
143	85	510
144	86	507
145	86	504
146	86	501
147	86	498
148	86	496
149	87	493
150	87	491
151	87	488
152	87	485
153	87	482
154	88	480
155	88	477
156	88	475
157	88	472
158	88	470
159	89	468
